date,h,min,time,Odr_1,Odr_2,Count,paper1,paper2,paper3
2020/1/1,5,59,5:59,42,41,0,69.2,53.9,27.4
2020/1/1,6,30,6:30,34.54166667,37.16666667,0,69.65833333,54.16666667,27.15833333
2020/1/1,6,59,6:59,31.52380952,37.23809524,0,70.55238095,54.52380952,28.03809524
2020/1/1,7,30,7:30,34,36.72916667,0,70.07916667,55.2375,28.40833333
2020/1/1,7,59,7:59,33.65909091,37.63636364,0,70.15454545,54.73636364,29.29545455
2020/1/1,8,30,8:30,33.7173913,42.43478261,0,70.4173913,54.61304348,28.97391304
2020/1/1,8,59,8:59,33.31818182,37.68181818,0,70.38181818,55.07727273,29.20909091
2020/1/1,9,30,9:30,33.59090909,38.61363636,0,70.26818182,55.19090909,29.31818182
2020/1/1,9,59,9:59,34.88636364,36.84090909,0,70.18636364,54.50454545,28.77272727
2020/1/1,10,30,10:30,33.82608696,38.08695652,0,70.49565217,55.00434783,29.4173913
2020/1/1,10,59,10:59,33.63636364,37.27272727,0,70.33181818,54.76818182,29.95
2020/1/1,11,30,11:30,32.89130435,36,0,70.44347826,55.30434783,30.3
2020/1/1,11,59,11:59,33.84090909,37.06818182,0,70.44090909,55.57272727,28.05
2020/1/1,12,30,12:30,34.26086957,36.34782609,0,70.03478261,55.23913043,27.52608696
2020/1/1,12,59,12:59,34.2826087,37.39130435,0,70.42173913,55.34347826,28.48695652
2020/1/1,13,30,13:30,34.73913043,39.26086957,0,70.40869565,55.52608696,28.65217391
2020/1/1,13,59,13:59,34.31818182,39.31818182,0,70.72272727,55.81818182,28.72272727
2020/1/1,14,30,14:30,34.91304348,37.39130435,0,70.63043478,55.26086957,27.62173913
2020/1/1,14,59,14:59,34.81818182,40.47727273,0,70.39545455,55.38636364,28.57727273
2020/1/1,15,30,15:30,35.13636364,37.15909091,0,70.28181818,54.95454545,27.57272727
2020/1/1,15,59,15:59,34.36363636,36.68181818,0,70.35909091,55.24090909,28.06363636
2020/1/1,16,30,16:30,34.69565217,37.63043478,0,70.66956522,55.1826087,28.15217391
2020/1/1,16,59,16:59,34.7826087,37.93478261,0,70.74782609,55.56956522,27.50434783
2020/1/1,17,30,17:30,35.73913043,38.17391304,0,70.50434783,55.26956522,28.1173913
2020/1/1,17,59,17:59,37.72727273,38.65909091,0,70.53181818,54.76818182,26.51363636
2020/1/1,18,30,18:30,36.73913043,42.60869565,0,70.35217391,54.85217391,26.29130435
2020/1/1,18,59,18:59,36.57142857,43.02380952,0,70.48095238,54.36666667,26.02380952
2020/1/1,19,30,19:30,38.60869565,39.2826087,0,70.24347826,54.93913043,25.83043478
2020/1/1,19,59,19:59,36.7173913,41.26086957,0,70.29565217,54.45652174,26.7
2020/1/1,20,30,20:30,36.93478261,39.93478261,0,70.25652174,54.84782609,26.04782609
